Player,Player & Season,HR,Season,Age,triples_over_xbh,(3b + 1)/(2b + 3b + 1),Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,Single Team,Team & Year,3B,2B,Sprint Speed
Bo Bichette,Bo Bichette 2022,24,2022,24,0.023,0.044,TOR,AL,159,697,652,91,189,121,43,1,24,93,TOR,TOR 2022,93,100,29.1
Triston Casas,Triston Casas 2023,24,2023,23,0.087,0.125,BOS,AL,132,502,429,66,113,66,21,2,24,65,BOS,BOS 2023,120,112,27.9
Brandon Crawford,Brandon Crawford 2021,24,2021,34,0.091,0.118,SFG,NL,138,549,483,79,144,87,30,3,24,90,SFG,SFG 2021,113,99,28.2
Lourdes Gurriel Jr.,Lourdes Gurriel Jr. 2023,24,2023,29,0.054,0.079,ARI,NL,145,592,551,65,144,83,35,2,24,82,ARI,ARI 2023,118,104,25.7
Brandon Nimmo,Brandon Nimmo 2023,24,2023,30,0.167,0.189,NYM,NL,152,682,592,89,162,102,30,6,24,68,NYM,NYM 2023,82,94,27.1
José Ramírez,José Ramírez 2023,24,2023,30,0.122,0.143,CLE,AL,156,691,611,87,172,107,36,5,24,80,CLE,CLE 2023,92,100,28.9
Bryan Reynolds,Bryan Reynolds 2021,24,2021,26,0.186,0.205,PIT,NL,159,646,559,93,169,102,35,8,24,90,PIT,PIT 2021,101,106,25.4
Bryan Reynolds,Bryan Reynolds 2023,24,2023,28,0.139,0.162,PIT,NL,145,640,574,85,151,91,31,5,24,84,PIT,PIT 2023,101,106,29.7
Will Smith,Will Smith 2022,24,2022,27,0.103,0.133,LAD,NL,137,578,508,68,132,79,26,3,24,87,LAD,LAD 2022,81,98,25.7
Trevor Story,Trevor Story 2021,24,2021,28,0.128,0.150,COL,NL,142,595,526,88,132,69,34,5,24,75,COL,COL 2021,138,112,25.9
Gleyber Torres,Gleyber Torres 2022,24,2022,25,0.034,0.067,NYY,AL,140,572,526,73,135,82,28,1,24,76,NYY,NYY 2022,85,94,26.8
Randy Arozarena,Randy Arozarena 2023,23,2023,28,0.136,0.174,TBR,AL,151,654,551,95,140,95,19,3,23,83,TBR,TBR 2023,99,99,25.8
Mookie Betts,Mookie Betts 2021,23,2021,28,0.094,0.121,LAD,NL,122,550,466,93,123,68,29,3,23,58,LAD,LAD 2021,81,98,25.1
Xander Bogaerts,Xander Bogaerts 2021,23,2021,28,0.029,0.056,BOS,AL,144,603,529,90,156,98,34,1,23,79,BOS,BOS 2021,120,112,27.1
